Video Number,Buzz Mode,Subject Number,Video Label,Start Time,End Time,Date
4,0,1,Before the Video,12:46:01,12:46:03,3/22/2022
4,0,1,Beginning of the Video,12:46:03,12:46:59,3/22/2022
4,0,1,Middle of the Video,12:46:59,12:47:09,3/22/2022
4,0,1,Near End of the Video,12:47:09,12:48:08,3/22/2022
4,0,1,End of the Video,12:48:08,12:48:38,3/22/2022
4,0,1,Three Minutes After the Video,12:48:38,12:50:16,3/22/2022
3,1,1,Before the Video,12:50:16,12:50:18,3/22/2022
3,1,1,Beginning of the Video,12:50:18,12:51:17,3/22/2022
3,1,1,Middle of the Video,12:51:17,12:54:01,3/22/2022
3,1,1,Near End of the Video,12:54:01,12:55:00,3/22/2022
3,1,1,End of the Video,12:55:00,12:55:30,3/22/2022
3,1,1,Three Minutes After the Video,12:55:30,12:58:01,3/22/2022
2,2,1,Before the Video,12:58:01,12:58:02,3/22/2022
2,2,1,Beginning of the Video,12:58:02,12:59:02,3/22/2022
2,2,1,Middle of the Video,12:59:02,13:00:09,3/22/2022
2,2,1,Near End of the Video,13:00:09,13:01:09,3/22/2022
2,2,1,End of the Video,13:01:09,13:01:39,3/22/2022
2,2,1,Three Minutes After the Video,13:01:39,13:04:08,3/22/2022
1,3,1,Before the Video,13:04:08,13:04:09,3/22/2022
1,3,1,Beginning of the Video,13:04:09,13:05:10,3/22/2022
1,3,1,Middle of the Video,13:05:10,13:07:00,3/22/2022
1,3,1,Near End of the Video,13:07:00,13:08:01,3/22/2022
1,3,1,End of the Video,13:08:01,13:08:31,3/22/2022
1,3,1,Three Minutes After the Video,13:08:31,13:11:02,3/22/2022
-1,-1,1,Rest Period ,13:11:02,13:18:22,3/22/2022
2,0,2,Before the Video,14:05:01,14:05:02,3/22/2022
2,0,2,Beginning of the Video,14:05:02,14:06:02,3/22/2022
2,0,2,Middle of the Video,14:06:02,14:07:04,3/22/2022
2,0,2,Near End of the Video,14:07:04,14:08:04,3/22/2022
2,0,2,End of the Video,14:08:04,14:08:34,3/22/2022
2,0,2,Three Minutes After the Video,14:08:34,14:11:05,3/22/2022
1,1,2,Before the Video,14:11:05,14:11:06,3/22/2022
1,1,2,Beginning of the Video,14:11:06,14:12:06,3/22/2022
1,1,2,Middle of the Video,14:12:06,14:13:58,3/22/2022
1,1,2,Near End of the Video,14:13:58,14:14:58,3/22/2022
1,1,2,End of the Video,14:14:58,14:15:28,3/22/2022
1,1,2,Three Minutes After the Video,14:15:28,14:19:00,3/22/2022
3,2,2,Before the Video,14:19:00,14:19:01,3/22/2022
3,2,2,Beginning of the Video,14:19:01,14:20:01,3/22/2022
3,2,2,Middle of the Video,14:20:01,14:22:44,3/22/2022
3,2,2,Near End of the Video,14:22:44,14:23:44,3/22/2022
3,2,2,End of the Video,14:23:44,14:24:14,3/22/2022
3,2,2,Three Minutes After the Video,14:24:14,14:26:59,3/22/2022
4,3,2,Before the Video,14:27:00,14:27:01,3/22/2022
4,3,2,Beginning of the Video,14:27:01,14:28:01,3/22/2022
4,3,2,Middle of the Video,14:28:01,14:28:06,3/22/2022
4,3,2,Near End of the Video,14:28:06,14:29:06,3/22/2022
4,3,2,End of the Video,14:29:06,14:29:59,3/22/2022
4,3,2,Three Minutes After the Video,14:29:59,14:32:07,3/22/2022
-1,-1,-1,Rest Period ,14:32:07,14:39:00,3/22/2022
1,3,4,Before the Video,13:03:00,13:03:01,3/24/2022
1,3,4,Beginning of the Video,13:03:01,13:04:01,3/24/2022
1,3,4,Middle of the Video,13:04:01,13:05:53,3/24/2022
1,3,4,Near End of the Video,13:05:53,13:06:53,3/24/2022
1,3,4,End of the Video,13:06:53,13:07:23,3/24/2022
1,3,4,Three Minutes After the Video,13:07:23,13:10:00,3/24/2022
4,2,4,Before the Video,13:10:00,13:11:00,3/24/2022
4,2,4,Beginning of the Video,13:11:00,13:11:06,3/24/2022
4,2,4,Middle of the Video,13:11:06,13:11:10,3/24/2022
4,2,4,Near End of the Video,13:11:10,13:12:06,3/24/2022
4,2,4,End of the Video,13:12:06,13:12:36,3/24/2022
4,2,4,Three Minutes After the Video,13:12:36,13:16:00,3/24/2022
2,1,4,Before the Video,13:16:00,13:16:01,3/24/2022
2,1,4,Beginning of the Video,13:16:01,13:17:02,3/24/2022
2,1,4,Middle of the Video,13:17:02,13:18:03,3/24/2022
2,1,4,Near End of the Video,13:18:03,13:19:03,3/24/2022
2,1,4,End of the Video,13:19:03,13:19:33,3/24/2022
2,1,4,Three Minutes After the Video,13:19:33,13:25:00,3/24/2022
3,2,4,Before the Video,13:25:00,13:25:01,3/24/2022
3,2,4,Beginning of the Video,13:25:01,13:26:01,3/24/2022
3,2,4,Middle of the Video,13:26:01,13:28:43,3/24/2022
3,2,4,Near End of the Video,13:28:43,13:29:43,3/24/2022
3,2,4,End of the Video,13:29:43,13:30:13,3/24/2022
3,2,4,Three Minutes After the Video,13:30:13,13:33:00,3/24/2022
5,0,4,Before the Video,13:33:00,13:33:04,3/24/2022
5,0,4,Beginning of the Video,13:33:05,13:33:31,3/24/2022
5,0,4,Middle of the Video,13:33:31,13:33:32,3/24/2022
5,0,4,Near End of the Video,13:33:32,13:34:02,3/24/2022
5,0,4,End of the Video,13:34:02,13:34:32,3/24/2022
5,0,4,Three Minutes After the Video,13:34:32,13:37:03,3/24/2022
-1,-1,4,Rest Period ,13:37:03,13:44:00,3/24/2022
3,3,5,Before the Video,14:10:00,14:10:01,3/24/2022
3,3,5,Beginning of the Video,14:10:01,14:11:00,3/24/2022
3,3,5,Middle of the Video,14:11:00,14:13:43,3/24/2022
3,3,5,Near End of the Video,14:13:43,14:14:43,3/24/2022
3,3,5,End of the Video,14:14:43,14:15:13,3/24/2022
3,3,5,Three Minutes After the Video,14:15:13,14:19:00,3/24/2022
4,2,5,Before the Video,14:19:00,14:19:01,3/24/2022
4,2,5,Beginning of the Video,14:19:01,14:20:01,3/24/2022
4,2,5,Middle of the Video,14:20:01,14:20:06,3/24/2022
4,2,5,Near End of the Video,14:20:06,14:21:07,3/24/2022
4,2,5,End of the Video,14:21:07,14:21:37,3/24/2022
4,2,5,Three Minutes After the Video,14:21:37,14:25:00,3/24/2022
1,1,5,Before the Video,14:25:00,14:25:01,3/24/2022
1,1,5,Beginning of the Video,14:25:01,14:26:01,3/24/2022
1,1,5,Middle of the Video,14:26:01,14:27:53,3/24/2022
1,1,5,Near End of the Video,14:27:53,14:28:53,3/24/2022
1,1,5,End of the Video,14:28:53,14:29:23,3/24/2022
1,1,5,Three Minutes After the Video,14:29:23,14:33:59,3/24/2022
2,0,5,Before the Video,14:33:59,14:34:00,3/24/2022
2,0,5,Beginning of the Video,14:34:00,14:35:00,3/24/2022
2,0,5,Middle of the Video,14:35:00,14:36:00,3/24/2022
2,0,5,Near End of the Video,14:36:00,14:37:02,3/24/2022
2,0,5,End of the Video,14:37:02,14:37:32,3/24/2022
2,0,5,Three Minutes After the Video,14:37:32,14:40:03,3/24/2022
-1,-1,5,Rest Period ,14:40:03,14:47:26,3/24/2022
3,3,6,Before the Video,15:00:59,15:01:00,3/24/2022
3,3,6,Beginning of the Video,15:01:00,15:02:00,3/24/2022
3,3,6,Middle of the Video,15:02:00,15:04:43,3/24/2022
3,3,6,Near End of the Video,15:04:43,15:05:43,3/24/2022
3,3,6,End of the Video,15:05:43,15:06:13,3/24/2022
3,3,6,Three Minutes After the Video,15:06:13,15:08:43,3/24/2022
1,2,6,Before the Video,15:08:43,15:08:45,3/24/2022
1,2,6,Beginning of the Video,15:08:45,15:09:44,3/24/2022
1,2,6,Middle of the Video,15:09:44,15:11:36,3/24/2022
1,2,6,Near End of the Video,15:11:36,15:12:36,3/24/2022
1,2,6,End of the Video,15:12:36,15:13:06,3/24/2022
1,2,6,Three Minutes After the Video,15:13:06,15:15:50,3/24/2022
4,1,6,Before the Video,15:15:50,15:15:51,3/24/2022
4,1,6,Beginning of the Video,15:15:51,15:15:51,3/24/2022
4,1,6,Middle of the Video,15:15:51,15:16:52,3/24/2022
4,1,6,Near End of the Video,15:16:52,15:17:57,3/24/2022
4,1,6,End of the Video,15:17:57,15:18:27,3/24/2022
4,1,6,Three Minutes After the Video,15:18:27,15:21:57,3/24/2022
2,0,6,Before the Video,15:21:57,15:21:58,3/24/2022
2,0,6,Beginning of the Video,15:21:58,15:22:58,3/24/2022
2,0,6,Middle of the Video,15:22:58,15:23:58,3/24/2022
2,0,6,Near End of the Video,15:23:58,15:25:00,3/24/2022
2,0,6,End of the Video,15:25:00,15:25:30,3/24/2022
2,0,6,Three Minutes After the Video,15:25:30,15:28:01,3/24/2022
-1,-1,6,Rest Period ,15:28:01,15:35:35,3/24/2022
